ISO_Code;UN_Reg;UN_SubReg;country_name_not_used;Ctry_Land;IC_T;IC_T_Src;IC_T_Cat;IC_F;IC_F_Src;IC_F_Cat;IC_NF;IC_NF_Src;IC_NF_Cat;IC_Notes;TIME_PERIOD;ATTR_ENDPOINT
MHL;Oceania;Micronesia;Marshall Islands;30147.751610000003;0.99;(Fabrice Dubertret, based on AusAID, 2008);80.1-100%;99.0;(Australian Agency for International Development, 2008);80.1-100%;0;(Fabrice Dubertret, based on AusAID, 2008);0;Marshall Islands have a constitutional recognition and protection of customary authority over customary land. They cover 99% of the country land area, the rest being public land.<br>It is likely that there is no state-owned land and that all land in the Marshall Islands is indigenously owned, with ownership usually governed by customary practices, at the exception of the atoll of Likiep.<br>Source : Australian Agency for International Development, 2008, Making Land Work. Canberra, A.C.T.: AusAID. Available at : http://www2.kobe-u.ac.jp/~alexroni/TR2014%20readings/2014_7/MakingLandWork_VolumeOne_Bookmarked.pdf<br><br>As customary tenure is extensively protected in the constitution or by law, we may consider that all customary lands are formally recognized in the country.;2017;
MTQ;Americas;Caribbean;Martinique (France);112084.998;No data;;No data;;;No data;No data;;No data;;2017;
MRT;Africa;Western Africa;Mauritania;104176453.9;96.4%;(Liz Alden Wily, 2015);80.1-100%;5.0;(Liz Alden Wily, 2015);0.1-5%;91.4%;(Liz Alden Wily, 2015);80.1-100%;"80% of Mauritania is desert/pastoral land claimed as community land on the basis of a mix of Sharia and customary law, as are the arable areas including along the Senegal River, the target for rural privatization outside the capital.<br>The 1983 land code (Ordonnance 83127 du 5 juin 1983 portant sur la rÃ©organisation fonciÃ¨re et domaniale) abolished customary tenure, vested all land in the state, and stipulated that only formal registered individual entitlements would be upheld as property (Arts. 1-3). However, only 27,075 titles issued, of which only 72 are in rural areas. Inter-clan conflict has been a major factor since 1983 and led, inter alia, to slightly more security for users (by amendment of the 1983 law in 1990) and to the Pastoral Code (Loi No. 2000-44 portant sur le code pastoral en Mauritanie). This is notable as the only law in Africa to prioritise mobile grazing over settled cultivation, but which makes no provision for community entitlement. It does enable communities to define 'pastures' excluding private lands, and enter management agreements with local governments.<br>Not known how many communities have done so or area involved, and a guestimate of a maximum of 5% of Mauritania as under such usufruct arrangements is used here to indicate that some degree of acknowledged occupation and use applies in pastoral areas, and likely to be mainly proximate to oases and settled camps.<br>Despite the pastoral code, failure to reform the 1983 law and recognize customary rights as property interests is reputedly a source of social conflict.<br>Key sources:<br>Mamadou Baro et al., 2014, Contribution a l'AmÃ©lioration de la politique fonciÃ¨re en Mauritanie a travers l'usage du Cadre d'Analyse de la Gouvernance FonciÃ¨re (CAGF), The World Bank & Gouvernment of Mauritanie;<br>John Grazei, 1986, Modernizing Land Tenure in Mauritania: The Role of Law in Development, Working Paper No. 118,  Africa Studies Center, Boston University.";2017;
MUS;Africa;Eastern Africa;Mauritius;202459.497;No data;(Liz Alden Wily, 2015);No data;;(Liz Alden Wily, 2015);No data;No data;(Liz Alden Wily, 2015);No data;Land in Mauritius is limited to private and state land. 90% of land area is under private title. No information on whether residual area (c. 10,000 ha) is customary or communal property but considered unlikely, given absent provisions in statutes that refers to customary land rights or communal land use.;2017;
MYT;Africa;Eastern Africa;Mayotte (France);39245.4682;No data;;No data;;;No data;No data;;No data;The situation in this dependent territory of France has not been assessed.;2017;
MEX;Americas;Central America;Mexico;194451757.7;No data;;No data;55.6;"(Fabrice Dubertret, 2015 - Calculation based on RRI, 2015; Eckart Boege Schmidt, 2008)";40.1-60%;No data;;No data;"Ejidos and communities are some forms of communal land ownership formally recognized to Indigenous peoples and local communities in Mexico. They cover 101.13 Mha, which represents 52.02% of the  country land area.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br><br>In a report for the National Commission for the Development of Indigenous Peoples (CDI), current indigenous territories are defined as geographic spaces with a long lasting occupation and use by Indigenous peoples. Although defining and delineating the extent of these territories is made with some approximations, it is possible to identify the minimum """"hard core"""" of actual indigenous territories, where Indigenous Peoples can have social, cultural and economic autonomous policies. It includes lands formally recognized within the ejido and communities system (21.08 Mha), as well as communal indigenous territories that could be bought as private property (6.95 Mha). Thus, the total area of these indigenous territories is estimated to be 28.03 Mha (14.42% of the  country land area).<br>Source : Eckart Boege Schmidt, 2008, El patrimonio biocultural de los pueblos indÃ­genas de MÃ©xico. Hacia la conservaciÃ³n in situ de la biodiversidad y agrodiversidad en los territorios indÃ­genas. MÃ©xico: Instituto Nacional de AntropologÃ­a e Historia: ComisiÃ³n Nacional para el Desarrollo de los Pueblos IndÃ­genas. 344 p. Available at : http://www.cdi.gob.mx/index.php?option=com_content&task=view&id=937<br><br>Based on the estimations from these two different sources, we can estimate that non-indigenous communities own 80.05Â Mha (41.18% of the  country land area) within the ejidos and communities system. Indigenous territories include 21.08 Mha within the ejidos and communities system, plus 6.95Â Mha owned as private property, thus covering 14.42% of the country land area. In total, 55.59% of Mexico land area is formally recognized as indigenous and community lands.";2017;
FSM;Oceania;Micronesia;Micronesia;77723.15770000001;0.65;(Fabrice Dubertret, based on AusAID, 2008);60.1-80%;65.0;(Australian Agency for International Development, 2008);60.1-80%;0;(Fabrice Dubertret, based on AusAID, 2008);0;Customary land is formally recognized and protected by the Constitutions of the 4 provinces of the Federated States of Micronesia. They cover 65% of the country land area, the rest being  public land (35%) and freehold lands (less than 1%). Customary land is held by traditional landowners, and most of this land is registered with rights of title similar to freehold. <br>Source : Australian Agency for International Development, 2008, Making Land Work. Canberra, A.C.T.: AusAID. Available at : http://www2.kobe-u.ac.jp/~alexroni/TR2014%20readings/2014_7/MakingLandWork_VolumeOne_Bookmarked.pdf<br><br>As customary tenure is extensively protected in the constitution or by law, we may consider that all customary lands are formally recognized in the country.;2017;
MDA;Europe;Eastern Europe;Moldova;3339255.14;No data;;No data;;;No data;No data;;No data;;2017;
MCO;Europe;Western Europe;Monaco;235.011;No data;;No data;;;No data;No data;;No data;;2017;
MNG;Asia;Eastern Asia;Mongolia;154686777.2;No data;;No data;81.45;(USAID, 2016);80.1-100%;No data;;No data;"According to the USAID country profile of Mongolia , 81.45% of the country land area is pasture land, owned by the state and operated under common tenure systems : it is undivided land available for joint use by the residents of the community in which it is located.<br>The rest of the country area is mainly public land, as only 1% of the country area is privately held. Information on the existence of not formally recognized community lands could not be found.<br>Sources : USAID, 2016. ""Country Profile - Property Rights and Resource Governance - Mongolia"". URL : https://www.land-links.org/wp-content/uploads/2016/09/USAID_Land_Tenure_Mongolia_Profile.pdf";2017;
MNE;Europe;Southern Europe;Montenegro;1302552.3;No data;;No data;;;No data;No data;;No data;;2017;
MSR;Americas;Caribbean;Montserrat (UK);10098.5;No data;;No data;;;No data;No data;;No data;;2017;
MAR;Africa;Northern Africa;Morocco;41328165.01;36.3%;(Liz Alden Wily, 2015);20.1-40%;36.3;(Liz Alden Wily, 2015);20.1-40%;0;(Liz Alden Wily, 2015);0;"Use of official figure of 15 million ha of tribal lands recognized as owned by tribes; 6.5 million ha of this area had been registered under group title by 2010.<br>Source: Ahmed Jkaoua, 2011, Management of the Collective Lands in Morocco, FIG Working Week 2011, 'Bridging the Gap between Cultures', Marrakech, Morocco, 18-22 May 2011. <br>Note that The World Bank, 2007 gives a smaller area of recognized tribal land as 12 million ha (and as used by RRI, 2015); http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2012/07/06/000020953_20120706100526/Rendered/PDF/695180v10FRENC0er0du0Maroc0Oct02007.pdf<br>Note that the figure for private lands (rural) is also an official figure.";2017;
MOZ;Africa;Eastern Africa;Mozambique;77641936.8;0.72;(Liz Alden Wily, 2015);60.1-80%;67.4;(Liz Alden Wily, 2015);60.1-80%;4.5%;(Liz Alden Wily, 2015);0.1-5%;Reduction of total TPA area by 0.3% to account for protected areas known to be within active customary domain.<br>By law, customary lands are deemed owned with/without registration & entitlement (DUAT) and in principal, therefore secure although delimitation and titling provided for and advised (not compulsory).<br>National Statistics indicate that 34,710,144 ha were delimited for 659 communities by 2013 (Hosaena Ghebru and Raul Pitoro, 2015, Is group land rights protection a cost-effective and inclusive alternative â€“ the case of community land delimitation in Mozambique? Paper presented at 2105 World Bank Conference on Land and Poverty, March 2015).<br>Area of private DUATS (i.e. titles issued to individuals, investors, etc, not to communities) is recorded as 7,603,924 ha as of 2012 by Joao Carrilho and Simon Norfolk, 2013, Beyond Building the Cadastre: Proposed Next Steps for Mozambique in Participatory Land Governance and Decentralized Land Rights Administration, Paper prepared for World Bank Annual Land Conference, 2013.<br>Figure for secure community lands based on subtraction of TPA, urban, private etc. as secure, with or without formal delimitation and issue of DUATS.<br>Note: difference between this figure for secured lands and figures of RRI, 2015, derives from a difference in legal interpretation: RRI considers only those lands under certified or not yet certified formal entitlement to communities (DUATS) as owned lands.  On the other hand, RRI adds in 900,000 ha as three forest concessions to communities, as lands designated for communities. This analysis assumes these areas are likely to be within the estimated figure here for all community lands and excludes these.;2017;
MMR;Asia;South-Eastern Asia;Myanmar;66504269.06;No data;;No data;0.1;(RRI, 2015);0.1-5%;No data;;No data;"Community Forest Concessions in Myanmar cover a total of 0.05 Mha (0.07% of the  country land area). These lands are formally designated to Indigenous peoples and local communities.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br><br>More than a hundred different ethnic groups inhabit Burma, Burmans making up an estimated 68% of the population. Seven """"ethnic nationalities"""" benefit from specific administrative divisions (ethnic states) and are considered indigenous peoples. However, many other groups self-identify as such. <br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf";2017;
NAM;Africa;Southern Africa;Namibia;82067968.2;0.36;(Liz Alden Wily, 2015);20.1-40%;36.0;(Liz Alden Wily, 2015);20.1-40%;0;(Liz Alden Wily, 2015);0;"The official figure for community lands is used here (Communal Lands) (Ministry of Lands, 2014). Community wildlife conservancies and forest reserves are located within these lands. Note that to minimise double-counting, known TPA within communal lands are subtracted from the data for TPA retrieved from WPDA 2013.<br>Communal lands are 36% of the total country area or 29.468 million ha excluding inland water bodies. Communal Lands denote permissive customary occupancy & use under state-appointed Land Boards (chiefs are represented), with title to the land vested in the State (not the case in freehold farming areas which account for a similar percentage of total country area).<br>Only residential and farm lands may be formalised in lifetime usufructs (currently around 1.4 million ha of 29 million ha), leaving est. 27 million ha of grazing lands disposable with permission of chiefs. This includes issue of leaseholds for commercial ranching to individuals or legal entities, with no application by villages for these communal lands yet approved.<br>Sources:<br>Liz Alden Wily, June 2014 for MCA Namibia, Guidelines for Group Land Rights in Communal Areas, Proposed official guidance for applicants, allocators and administrators;<br>Liz Alden Wily, June 2014 for MCA Namibia, Proposed Working Policy on Group Rights in Communal Areas.<br>Refer elsewhere on site for review of laws against indicators (Liz Alden Wily).";2017;
NRU;Oceania;Micronesia;Nauru;2225.04;0.9;(Fabrice Dubertret, based on AusAID, 2008);80.1-100%;90.0;(Australian Agency for International Development, 2008);80.1-100%;0;(Fabrice Dubertret, based on AusAID, 2008);0;The legislation of the country recognizes and protects customary land tenure. Customary lands cover more than 90% of the country land area, the rest being public land.<br>The sale of land has been prohibited in Nauru since colonial times, and thus there is no history of land alienation in the country. Still, a small amount of land has been alienated to the Government. <br>Source : Australian Agency for International Development, 2008, Making Land Work. Canberra, A.C.T.: AusAID. Available at : http://www2.kobe-u.ac.jp/~alexroni/TR2014%20readings/2014_7/MakingLandWork_VolumeOne_Bookmarked.pdf<br><br>As customary tenure is extensively protected in the constitution or by law, we may consider that all customary lands are formally recognized in the country.;2017;
NPL;Asia;Southern Asia;Nepal;14778789.2;No data;;No data;13.4;(RRI, 2015);5.1-20%;No data;;No data;1.92 Mha are formally recognized as designated to Indigenous peoples and communities in Nepal (13.41% of the  country land area).<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br><br>The government of Nepal recognizes 59 Indigenous Peoples, while the 2011 census lists 63 indigenous nationalities (Adivasi Janajati), comprising 36% of the total population of Nepal of 26.5 million. Still, Indigenous Peoples' organizations claimÃ¹ a larger figur of more than 50%.<br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
NLD;Europe;Western Europe;Netherlands;3443313.041;No data;;No data;;;No data;No data;;No data;According to the Eurostat survey of common lands in Europe, there is (virtually) no common lands in the Netherlands. <br>Sources : Eurostat, 2013. Farm structure - Netherlands National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_nl.htm;2017;
NCL;Oceania;Melanesia;New Caledonia (France);1883481.11;No data;;No data;27.2;(ADRAF, 2015);20.1-40%;No data;;No data;"The Agency for Rural Development and Land Management (ADARAF) is responsible for the land reform emerging from land and identity claims expressed in the 1970's by the Kanaks, New Caledonia Indigenous Peoples. To date, the agency has recognized 0.496 Mha of customary land (27.19% of the country land area) and has 0.013 Mha of """"land reserve"""" to answer future claims. <br>Source : ADRAF website, accessed 2015.10.28, http://www.adraf.nc/index.php?option=com_content&view=article&id=58&Itemid=78";2017;
NZL;Oceania;Australia and New Zealand;New Zealand;26574604.909;No data;;No data;5.5;(Maori Land Court, 2015);0.1-5%;No data;;No data;As of September 2009, the M?ori Land Court had recognized 1.47 Mha of indigenous lands in New Zealand. These include freehold titles as well as customary lands. Thus, formally recognized lands cover 5.5% of New Zealand land mass.<br>Source : Maori Land Court website, accessed 2015.10.28, http://www.justice.govt.nz/courts/maori-land-court;2017;
NIC;Americas;Central America;Nicaragua;11915525.0;52.3%;"(FAO, 2012; PNUD, 2011)";40.1-60%;18.9;(FAO, 2012);5.1-20%;33.4%;(PNUD, 2011 - as cited in Portal Territorio IndÃ­gena y Gobernanza, www.territorioindigenaygobernanza.com);20.1-40%;Across Nicaragua, 17 of the 23 indigenous and afro-descendant territories the Government engaged to title have been formally documented, totaling 2.25 Mha - 17.3% of the  country land area. <br>Source : Food and Agriculture Organization of the United Nations, 2012. La tenencia de los territorios indÃ­genas y REDD+ como un incentivo de manejo forestal: el caso de los paÃ­ses mesoamericanos. Available at : http://www.fao.org/fileadmin/user_upload/AGRO_Noticias/docs/territorios_indigenas-web.pdf<br><br>3,98 Mha are additionally claimed, representing 30.6% of the National territory (PNUD, 2011, as cited in the Portal Territorio IndÃ­gena y Gobernanza website)<br>Source : Helvetas Swiss Intercooperation and Rihts and Resouces Initiative, Portal Territorio IndÃ­gena y Gobernanza - www.territorioindigenaygobernanza.com. Accessed 2015/10/29;2017;
NER;Africa;Western Africa;Niger;118722571.9059;81.8%;(Liz Alden Wily, 2015);80.1-100%;10.0;(Liz Alden Wily, 2015);5.1-20%;71.8%;(Liz Alden Wily, 2015);60.1-80%;"The Rural Land Code in 1993 (a series of related legal texts on natural resource management, tenure. forestry, fisheries, water, expropriation and institutional developments and which continues to be developed) established customary rights as a basis of issue of certificates of private rights to arable lands in the south and issue of priority access rights to pastoralists for their home grazing territories and wells in the north (60 MHa owned by the state).<br>Full property rights may also be obtained from the Land Registry. Provision exists for issue of certificates or access rights to individuals, families or groups. Chiefs tend to retain large areas of off-farm lands in the arable south.<br>Even after 20 years there remains ambivalence as to the status of community lands without certificates and in the absence of adequate development of promised local land commissions after decentralization in 2004. Formal titling is expensive and cumbersome and chiefs issue documents confirming customary rights over specific parcels with uncertain locus standi.<br>Rights are in principle secure with or without titles but due to land grabbing, including in pastoral areas, tenure is vulnerable without title. Idea of empty lands without owners also prevails in the law and unregistered lands risk being so categorised.<br>No data for the area subject to customary certificates but estimated as less than 10% of the total country area.<br>Key sources:<br>AGTER, Lessons Learned from Niger's Rural Code http://www.agter.asso.fr/IMG/pdf/rural_code_of_niger-educational_kit-paper_3.pdf;<br>Legal and Institutional Framework, at http://www.agter.asso.fr/article549_en.html;<br>On pastoralism: http://www.agter.org/bdf/_docs/niger_-_paper_4_-_pastoralism.pdf;<br>Tearfund 2015, At the Crossroads Analysing the impact of pastoral policies upon patoralists based in Abalak, Niger.";2017;
NGA;Africa;Western Africa;Nigeria;90530119.7899;82.3%;(Liz Alden Wily, 2015);80.1-100%;82.3;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;"Community lands deemed 'fairly secure' in law comprising mainly family rural lands but see below.<br>Community land area is calculated by excluding protected areas, urban area, registered private land areas and subtraction of rural public service lands at 1% of country area. Legally, the remaining majority area (community lands) is lawfully occupied and used, but handicapped by shortfalls in law and especially its application.<br>Rights within the community sector are predominantly customary family rights, with lesser areas for communal lands, mostly as village-based grazing areas (5% of total country area at 7 million ha).<br>All land is vested in Governors of States in trust for citizens. Governor of State issues statutory certificates of occupancy to families and individuals and elected Local Government Authorities (LGA, of which there are 775) issue customary rights of occupancy for rural lands (up to 500 ha per family and 5,000 ha per community for collective grazing areas (Land Use Act 1978, reissued in 2004, consolidated in 2013 with amendments).<br>Most land is considered to be private land (70-75% of country area) established by possession/customary law and which may be voluntarily registered. Only 3% of the country area is under statutory certificates of occupancy (based on cadastral mapping and formally entered into Cadastre).<br>Security of tenure is handicapped by legal requirement that transfers have permission of the LGA or Governor; failure to get permits can and does result in cancellation of family rights. Lack of accountability of Governors as titular owners also problematic in that law permits takings for public purpose without compensation for other than improvements to the land.<br>Key source: Peter Adeniyi, Aug 2013, Improving Land Sector Governance in Nigeria, Implementation of the Land Governance Assessment Framework, The World Bank.<br>Refer elsewhere on site for review of laws against indicators (Liz Alden Wily, forthcoming).";2017;
NIU;Oceania;Polynesia;Niue;26748.5;98.5%;(Fabrice Dubertret, based on AusAID, 2008);80.1-100%;98.5;(Australian Agency for International Development, 2008);80.1-100%;0;(Fabrice Dubertret, based on AusAID, 2008);0;The Crown formally recognizes and protects rights of traditional landowners through legislation. Customary lands cover 98.5% of the country land area.<br>Source : Australian Agency for International Development, 2008, Making Land Work. Canberra, A.C.T.: AusAID. Available at : http://www2.kobe-u.ac.jp/~alexroni/TR2014%20readings/2014_7/MakingLandWork_VolumeOne_Bookmarked.pdf<br><br>As customary tenure is extensively protected in the constitution or by law, we may consider that all customary lands are formally recognized in the country.;2017;
NFK;Oceania;Australia and New Zealand;Norfolk Island (Australia);4068.79;No data;;No data;0;(Don Paterson, 2012);0;No data;;No data;There is no customary land in the Norfolk Island, as no Indigenous Peoples where present when the Europeans settled.<br>Source : Don Paterson, 2012, Overview of Land Systems in English-speaking Island Countries of the South Pacific, Law and Culture 2012: Pacific Law and NZ/Aotearoa Conference. Available at http://www.paclii.org/law-and-culture/An overview of Land Systems in English speaking Island countries of the South Pacific_Power Point.pdf.;2017;
PRK;Asia;Eastern Asia;North Korea;12174600.0;No data;;No data;;;No data;No data;;No data;;2017;
MNP;Oceania;Micronesia;Northern Mariana Islands (U.S.);50573.356100000005;No data;;No data;;;No data;No data;;No data;;2017;
NOR;Europe;Northern Europe;Norway;30960476.709;No data;;No data;14.2;(RRI, 2015);5.1-20%;No data;;No data;5.18 Mha are owned by Indigenous peoples and local communities in Norway (representing 14.19% of the country landmass). These land rights include Indigenous/Local ownership (Svartskogsaken), Indigenous/Local ownership of the Finnmark Estate, and the Bygd Commons (Bygdeallmenning). <br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
OMN;Asia;Western Asia;Oman;30962090.823;No data;;No data;0;(RRI, 2015);0;No data;;No data;No statutory tenure regimes in Oman establish mechanisms for the communal ownership or management of land by Indigenous Peoples or local communities.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
PAK;Asia;Southern Asia;Pakistan;86941245.0;No data;;No data;;;No data;No data;;No data;No data could be found in the literature regarding the area of indigenous and community lands in the country. <br>Nevertheless, Indigenous Peoples/tribal people are known to be present in Pakistan, and estimates suggest that they number about 15% of the country's population. <br>Source : International Labour Organization website, accessed 2015/10/29, http://www.ilo.org/indigenous/Activitiesbyregion/Asia/SouthAsia/Pakistan/lang--en/index.htm;2017;
PLW;Oceania;Micronesia;Palau;48447.4063;No data;;No data;5.0;(Fabrice Dubertret, based on AusAID, 2008);0.1-5%;No data;;No data;The German rule of the country encouraged individual occupation and ownership of the land, trend that continues today. 20 000 land titles are estimated to exist on the island, some of which are clan or community titles to land, but many others are individual titles. Land that was not occupied or cultivated by Paluans during colonial times have been converted to public lands, and much of this land is now being disputed by the traditional owners. <br>There are some customary land in Palau, but most of the country's area is public lands, with some freehold lands.<br>Source : Australian Agency for International Development, 2008, Making Land Work. Canberra, A.C.T.: AusAID. Available at : http://www2.kobe-u.ac.jp/~alexroni/TR2014%20readings/2014_7/MakingLandWork_VolumeOne_Bookmarked.pdf<br><br>An indicative figure of 5% is used here.;2017;
PSE;Asia;Western Asia;Palestina;603048.9;No data;;No data;;;No data;No data;;No data;;2017;
PAN;Americas;Central America;Panama;7461339.6;40.8%;(Vergara-Asenjo & Potvin, 2014);40.1-60%;31.6;(Vergara-Asenjo & Potvin, 2014);20.1-40%;9.2%;(Vergara-Asenjo & Potvin, 2014);5.1-20%;According to GIS data and spatial analysis, the indigenous territories that were legally established as Comarcas, combined with all of the claimed lands, represent 31.6% (2.35 Mha) of Panama land area. With a total of 27 separate areas, the mapped claimed lands represented 9.2% (0.68 Mha) of the country land area. <br>Source : Gerardo Vergara-Asenjo, Catherine Potvin, 2014. Forest protection and tenure status: The key role of indigenous peoples and protected areas in Panama, Global Environmental Change, Volume 28, pp 205-215. Available at : http://www.sciencedirect.com/science/article/pii/S0959378014001289;2017;
PNG;Oceania;Melanesia;Papua New Guinea;46163540.0;0.97;"(Fabrice Dubertret, based on RRI, 2015; AusAID, 2008)";80.1-100%;97.0;"(RRI, 2015; Australian Agency for International Development, 2008)";80.1-100%;0;"(Fabrice Dubertret, based on RRI, 2015; AusAID, 2008)";0;Customary lands are formally recognized as owned by Indigenous peoples and local communities in Papua New Guinea. They cover 97% of the country land area, the rest being public land (2.5%) and freehold lands (0.5%).<br>Sources :<br>Australian Agency for International Development, 2008, Making Land Work. Canberra, A.C.T.: AusAID. Available at : http://www2.kobe-u.ac.jp/~alexroni/TR2014%20readings/2014_7/MakingLandWork_VolumeOne_Bookmarked.pdf<br>Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br><br>As customary tenure is extensively protected in the constitution or by law, we may consider that all customary lands are formally recognized in the country.;2017;
PRY;Americas;South America;Paraguay;39721537.953;No data;;No data;;;No data;No data;;No data;No data could be found in the literature regarding the area of indigenous and community lands in the country.<br>However, there are approximately 112,848 indigenous people living in Paraguay, belonging to 19 peoples. They form, in all, 531 communities and 241 villages. Although Paraguay has ratified the main human rights instruments such as ILO convention 169 and the Inter-American Court ruled against Paraguay for the third time in 2010 demanding that the state adopt legislative, administrative and any other measures necessary to create an effective system for claiming the ancestral or traditional lands of the indigenous peoples, their land rights continues to be violated. <br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
PER;Americas;South America;Peru;128327932.1;56.6%;"(Fabrice Dubertret, 2016 - Calculation based on IBC, 2016; IBC, SICNA, 2016; Richard Chase Smith, pers. com., June 2016)";40.1-60%;30.4;"(Fabrice Dubertret, 2016 - Calculation based on IBC, 2016; IBC, SICNA, 2016; Richard Chase Smith, pers. com., June 2016)";20.1-40%;26.2%;"(Fabrice Dubertret, 2016 - Calculation based on IBC, 2016; IBC, SICNA, 2016; Richard Chase Smith, pers. com., June 2016)";20.1-40%;"Of the 2,009 native communities in PerÃº, 1,365 have land titles covering 12.16 Mha and 644 do not have land titles over their lands, covering 5.74 Mha. Peasant communities own 24.08 Mha of titled lands (benefiting 5,141 communities), and 3,379 other communities do not have titles over the 21.10 Mha of their lands. While the Government makes a differentiation between these two type of communities that benefit from different land/community legislation, both are Indigenous Peoples. <br>Thus, the total area titled to peasant and native communities covers 36,24 Mha (28.2% of PerÃº total land area) and the untitled land area in their possession covers 26.84 Mha (20.9% of PerÃº total land area).<br>Source: Instituto del Bien ComÃºn, 2016. Tierras Comunales: MÃ¡s que Preservar el Pasado es Asegurar el Futuro. El estado de las comunidades indÃ­genas en el PerÃº - Informe 2016. Lima, PerÃº. Available at: http://www.ibcperu.org/wp-content/uploads/2016/05/Informe-2016-TIERRAS-COMUNALES_lg.pdf<br><br>In addition to the community lands, the Peruvian government has formally recognized 5 Indigenous Reserves designated for occupation and used by isolated indigenous peoples with a total of 2.81 Mha.  There are proposals made by civil society institutions for the recognition of 7 additional Indigenous Reserves where isolated indigenous peoples are thought to reside with a total of 6.79 Mha; to date the government has taken inconclusive actions on 4 of the 7. <br>Source:  Instituto del Bien ComÃºn-Sistema de InformaciÃ³n de Comunidades Nativas.  Lima 2016.<br><br>The Peruvian government has also formally recognized 10 Communal Reserves which are part of the National Park System (SERNANP) and are registered as property of the Peruvian State.  While these reserves are established for certain types of sustainable ""use"" by neighboring Native Communities under specific forms of approved organization, they may not be occupied by community members.  For these reasons, we have not included these areas in our calculations.<br>Source : Richard Chase Smith, IBC, personal communication on June 2016.";2017;
PHL;Asia;South-Eastern Asia;Philippines;29405057.26;No data;;No data;21.3;(RRI, 2015);20.1-40%;No data;;No data;1.65 Mha are designated for Indigenous peoples and local communities as Protected Area Community Based Resource Management Agreements (PACBRMAs) and Community-Based Forest Management Agreements (CBFMAs). Certificates of Ancestral Land Title (CALTs) and Certificates of Ancestral Domain Title (CADTs) cover 4.71 Mha. Thus, 21.34% of the  country land area is formally recognized as owned by or designated for Indigenous peoples and communities.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
PCN;Oceania;Polynesia;Pitcairn Islands (UK);5431.26;No data;;No data;0;(Don Paterson, 2012);0;No data;;No data;There is no customary land in the Pitcairn Islands, as no Indigenous Peoples where present when the Europeans settled.<br>Source : Don Paterson, 2012, Overview of Land Systems in English-speaking Island Countries of the South Pacific, Law and Culture 2012: Pacific Law and NZ/Aotearoa Conference. Available at http://www.paclii.org/law-and-culture/An overview of Land Systems in English speaking Island countries of the South Pacific_Power Point.pdf.;2017;
POL;Europe;Eastern Europe;Poland;30745874.848;No data;;No data;;;No data;No data;;No data;According to Eurostat, common lands are almost inexistent in Poland's utilised agricultural area. The survey wasn't able to gather statistics on their extent.<br>Sources : Eurostat, 2013. Farm structure - Poland National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_pl.htm;2017;
