;COUNTRY_ISO_3;COUNTRY_NAME;DIM_SEX;DIM_SEX;DIM_SEX;DIM_SEX;DIM_AGE_GROUP;DIM_AGE_GROUP;DIM_AGE_GROUP;DIM_AGE_GROUP;TIME_PERIOD;RAW_OBS_VALUE;ATTR_SOURCE_OF_SOURCE
404;VNM;Viet Nam;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;26.1;GSHS 2013
405;VNM;Viet Nam;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;26.1;GSHS 2013
406;VUT;Vanuatu;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;45.7;GSHS 2016
407;VUT;Vanuatu;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;60.0;GSHS 2016
408;VUT;Vanuatu;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;52.6;GSHS 2016
409;WSM;Samoa;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;33.9;GSHS 2017
410;WSM;Samoa;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;43.0;GSHS 2017
411;WSM;Samoa;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;38.2;GSHS 2017
412;YEM;Yemen;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;33.4;GSHS 2014
413;YEM;Yemen;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;47.3;GSHS 2014
414;YEM;Yemen;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;41.5;GSHS 2014
415;ZAF;South Africa;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;47.0;TIMSS 2015
416;ZMB;Zambia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2004;67.1;GSHS 2004
417;ZMB;Zambia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2004;62.5;GSHS 2004
418;ZMB;Zambia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2004;65.1;GSHS 2004
