;DIM_SDG_INDICATOR;ATTR_SDG_INDICATOR_DESCRIPTION;COUNTRY_NAME;TIME_PERIOD;RAW_OBS_VALUE;ATTR_SOURCE_OF_SOURCE;ATTR_FOOTNOTE_OF_SOURCE;DIM_REP_TYPE;DIM_POLICY_TYPE;COUNTRY_ISO_2;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
135;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Malaysia;2017.0;2.0;10YFP / WESR ;['Pilot reporting (2017)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);MY;MYS;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
136;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Maldives;2019.0;2.0;Ministry of Environment & Energy;['Official reporting (2019-2021)'];Global;Voluntary and self-regulation schemes (e.g. sectoral partnerships, codes of conduct, CSR initiatives);MV;MDV;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
137;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Maldives;2019.0;2.0;Ministry of Environment & Energy;['Official reporting (2019-2021)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);MV;MDV;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
138;_T;;;2023.0;1.0;;;_T;_T;;MLI;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
139;_T;;;2023.0;1.0;;;_T;_T;;MLT;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
140;_T;;;2023.0;1.0;;;_T;_T;;MHL;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
141;_T;;;2023.0;1.0;;;_T;_T;;MRT;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
142;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Mauritius;2017.0;2.0;10YFP / WESR ;['Pilot reporting (2017)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);MU;MUS;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
143;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Mauritius;2017.0;2.0;10YFP / WESR ;['Pilot reporting (2017)'];Global;Regulatory and legal instruments (e.g. laws, standards, enforcement measures);MU;MUS;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
144;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Mexico;2020.0;2.0;SEMARNAT SecretarÃ­a de Medio Ambiente y Recursos Naturales;['Official reporting (2019-2021)'];Global;Regulatory and legal instruments (e.g. laws, standards, enforcement measures);MX;MEX;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
145;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Mexico;2020.0;2.0;SEMARNAT SecretarÃ­a de Medio Ambiente y Recursos Naturales;['Official reporting (2019-2021)'];Global;Voluntary and self-regulation schemes (e.g. sectoral partnerships, codes of conduct, CSR initiatives);MX;MEX;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
146;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Mexico;2020.0;2.0;SEMARNAT SecretarÃ­a de Medio Ambiente y Recursos Naturales;['Official reporting (2019-2021)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);MX;MEX;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
147;_T;;;2023.0;1.0;;;_T;_T;;FSM;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
148;_T;;;2023.0;1.0;;;_T;_T;;MDA;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
149;_T;;;2023.0;1.0;;;_T;_T;;MCO;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
150;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Mongolia;2019.0;2.0;Ministry of Environment and Tourism of Mongolia;['Official reporting (2019-2021)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);MN;MNG;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
151;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Montenegro;2017.0;2.0;10YFP / WESR ;['Pilot reporting (2017)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);ME;MNE;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
152;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Morocco;2021.0;2.0;10YFP / WESR ;['Official reporting (2019-2021)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);MA;MAR;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
153;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Morocco;2021.0;2.0;10YFP / WESR ;['Official reporting (2019-2021)'];Global;Regulatory and legal instruments (e.g. laws, standards, enforcement measures);MA;MAR;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
154;_T;;;2023.0;1.0;;;_T;_T;;MOZ;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
155;_T;;;2023.0;1.0;;;_T;_T;;MMR;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
156;_T;;;2023.0;1.0;;;_T;_T;;NAM;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
157;_T;;;2023.0;1.0;;;_T;_T;;NRU;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
158;_T;;;2023.0;1.0;;;_T;_T;;NPL;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
159;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Netherlands;2020.0;2.0;Ministry of Infrastructure and Water Management;['Official reporting (2019-2021)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);NL;NLD;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
160;_T;;;2023.0;1.0;;;_T;_T;;NZL;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
161;_T;;;2023.0;1.0;;;_T;_T;;NIC;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
162;_T;;;2023.0;1.0;;;_T;_T;;NER;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
163;_T;;;2023.0;1.0;;;_T;_T;;NGA;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
164;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Norway;2022.0;2.0;Ministry of Climate and Environment;[''];Global;Voluntary and self-regulation schemes (e.g. sectoral partnerships, codes of conduct, CSR initiatives);NO;NOR;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
165;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Norway;2022.0;2.0;Ministry of Climate and Environment;[''];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);NO;NOR;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
166;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Norway;2022.0;2.0;Ministry of Climate and Environment;[''];Global;Regulatory and legal instruments (e.g. laws, standards, enforcement measures);NO;NOR;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
